tweet id,time of tweet,user id,text
1.54E+18,2022-07-04 23:59:46+00:00,3628210517,@Penelope205 Same😓😓 yhoo..
1.54E+18,2022-07-04 23:48:33+00:00,17852343,Drew Barrymore fans are freaking out over her stunning swimsuit Instagram https://t.co/EGnXgS4Vki https://t.co/yyKXFS56sV
1.54E+18,2022-07-04 23:31:14+00:00,8.21E+17,@Lethu_Zwane Yhoo😭
1.54E+18,2022-07-04 23:30:48+00:00,1.47E+18,@hatiperi_jnr @Iammunyah11 @BrokeNiqqaa @t_kachidza @Maward_wacho @mjolodropout @TeeMyst Yhoo ichoo 😂🤣🤣
1.54E+18,2022-07-04 23:27:59+00:00,1.02E+18,@yhoo_gee Lol I'm just seeing.
1.54E+18,2022-07-04 23:27:27+00:00,1.01E+18,@MistaChips This movie
1.54E+18,2022-07-04 23:25:56+00:00,407787749,@mafampe Yhoo bro i tweet everyday
1.54E+18,2022-07-04 23:23:41+00:00,17852343,Kevin Spacey sexual assault allegations get the docuseries treatment in ‘Spacey Unmasked’ https://t.co/01YdagchR6 https://t.co/tKQHbpA76y
1.54E+18,2022-07-04 23:14:20+00:00,1.01E+18,Toothpaste don cost https://t.co/WCRMrQrNZj
1.54E+18,2022-07-04 23:03:19+00:00,47848627,🚨 🏈 pod is live 🏈 🚨 Miami and Florida are feuding again. Where top 15 QB recruits are headed. Final World Series Je… https://t.co/vhTZr5uPtz
1.54E+18,2022-07-04 23:01:41+00:00,7309052,A political shift is beginning to take hold across the U.S. as tens of thousands of suburban swing voters who helpe… https://t.co/8Axh35fK9Y
1.54E+18,2022-07-04 22:50:33+00:00,1.37E+18,"🚨 Kyrie Irving is opting into his $37 million player option with the Nets for next season, per @ShamsCharania.

➡️… https://t.co/p3ZPpZACE7"
1.54E+18,2022-07-04 22:50:19+00:00,1.50E+18,"@shufflesdu Yhoo!no matter how we hate ANC, this's not how we want it die,as for Gayton McKenzie, I'm not surprised"
1.54E+18,2022-07-04 22:47:55+00:00,1215441266,Yhoo base abana stop😭😭 https://t.co/Y0I0dUhL7R
1.54E+18,2022-07-04 22:46:08+00:00,7302282,"🚨 Kyrie Irving is opting into his $37 million player option with the Nets for next season, per @ShamsCharania.

➡️… https://t.co/RZfuLr2ptL"
1.54E+18,2022-07-04 22:45:05+00:00,2216620717,@erasmus_maesh @ChrisExcel102 yhoo! he silver-bagged BUSTA😂😂😂😂
1.54E+18,2022-07-04 22:45:01+00:00,1.43E+18,"Wilson: $SPY/$SPX may retrace 38-50% of decline, up to 4200 (5-7% upside from close Fri); driven by interest-rate s… https://t.co/WFA7TMz8H3"
1.54E+18,2022-07-04 22:43:51+00:00,7309052,Three people were killed and multiple others were injured after an Amtrak train on its way from Los Angeles to Chic… https://t.co/nH1NYw2c9E
1.54E+18,2022-07-04 22:40:21+00:00,17852343,Kaley Cuoco on how her relationship with alcohol is different in her 30s: 'My tolerance has changed and I'm OK with… https://t.co/6jLLhiODDL
