tweet id,time of tweet,user id,text,user_id
1.54e+18,2022-07-03 23:33:41+00:00,17852343.0,Elizabeth Olsen confirms she and Robbie Arnett 'eloped' and 'had a wedding at another time' https://t.co/3EWoBZP3Mj https://t.co/gVVQtKHWgE,
1.54e+18,2022-07-03 23:33:27+00:00,2755551791.0,@mikeymuller73 Yhoo 🤣🤣🤣🤣🤣 https://t.co/HJAuV6fswN,
1.54e+18,2022-07-03 23:05:07+00:00,17852343.0,Kate Middleton and Prince William mourn death of Deborah James: 'We are so sad' https://t.co/dTtPAJQsnn https://t.co/psbXvl994i,
1.54e+18,2022-07-03 23:00:54+00:00,1.51e+18,"@KhumbuSands It always those ones for me Yhoo. It’s a curse, I need cleansing 😵‍💫 https://t.co/zi0hNu93To",
1.54e+18,2022-07-03 23:00:32+00:00,7309052.0,The Food and Drug Administration last week announced a proposed rule that would force tobacco companies to dramatic… https://t.co/mfsdzBWacW,
1.54e+18,2022-07-03 23:00:26+00:00,1.19e+18,"Harry Styles is bringing chunky bead necklaces back. See how he styled them:

https://t.co/l2Q7GhRFPe 

#NecklaceTrends #JewelryStyle",
1.54e+18,2022-07-03 22:55:24+00:00,21320186.0,Kristin Cavallari says she doesn't weigh herself anymore: 'I can tell how my clothes fit me.'… https://t.co/S76gAjhEbp,
1.54e+18,2022-07-03 22:55:00+00:00,201537863.0,$BCTX Summer IND for Bria-OTS #breastcancer #celltherapy -  https://t.co/0jNIPl2fpx https://t.co/eoAG13SRpd,
1.54e+18,2022-07-03 22:31:37+00:00,17852343.0,"Kristin Cavallari is 'happy' about her weight gain, says she's 'shocked at how thin' she once was… https://t.co/D1uPJLMZFd",
1.54e+18,2022-07-03 22:30:00+00:00,212715586.0,What is the best prank you played on your kid? https://t.co/hxjb3jiXqN,
1.54e+18,2022-07-03 22:26:52+00:00,21320186.0,'Stranger Things' star Gaten Matarazzo thinks pineapple deserves a chance as a pizza topping: 'I understand the hat… https://t.co/c9jNIZYPav,
1.54e+18,2022-07-03 22:16:39+00:00,270711738.0,"#JalenBrunson is set to meet with the #Knicks and #Mavericks before making his free agent decision, sources tell… https://t.co/KrsaKULfCD",
1.54e+18,2022-07-03 22:16:11+00:00,47814498.0,"The Hawks deal Danilo Gallinari, three first-round picks and a future pick swap to the Spurs for Dejounte Murray.… https://t.co/HmALFYOshc",
1.54e+18,2022-07-03 22:16:04+00:00,1.53e+18,@DephceyMathebul @Munghana @MsKulie @RisimatiKwinika @gongomela_mlfm Yhoo va dyise team #Gongomela 🤣🤣,
1.54e+18,2022-07-03 22:13:48+00:00,7302282.0,"Jalen Brunson is set to meet with the Knicks and Mavericks before making his free agent decision, sources tell… https://t.co/y16EyQH4J8",
1.54e+18,2022-07-03 22:12:32+00:00,7309052.0,Missouri voters will have to show photo identification to cast a regular ballot in the November election as a resul… https://t.co/jWSkHL8hyR,
1.54e+18,2022-07-03 22:08:03+00:00,59578815.0,".@BDanielson12 goes over some DFS plays for the John Deere Classic.

➡️ https://t.co/nFBD4bCThB https://t.co/FM7FmPUohz",
1.54e+18,2022-07-03 22:07:24+00:00,1.48e+18,@Amanda_Umxhosa Yhoo hehake Amanda🙄🙄,
1.54e+18,2022-07-03 22:06:50+00:00,1.51e+18,@Ayama_G @KhumbuSands Yhoo haaiini guys but we shall tool🥺,
1.54e+18,2022-07-03 22:02:43+00:00,2798623182.0,"Derek Carr: Josh McDaniels a 'genius' with schemes, getting the best out of players https://t.co/xL2G1dTZDT",
1.54e+18,2022-07-03 22:02:07+00:00,2295347725.0,#Gold: SPDR Gold Shares ETF (GLD) closed today at: 169.49 https://t.co/SwRy7aLZFY #MasterMetals https://t.co/EKRGzIlj9H,
1.54e+18,2022-07-03 21:58:25+00:00,21320186.0,Security camera captures a wild elephant using its trunk to break into a home and steal cake.… https://t.co/NbkXVYnSEh,
1.54e+18,2022-07-03 21:58:21+00:00,17852343.0,Richard Pryor's daughter Rain says he was honest about 'his demons and his addictions' during her childhood… https://t.co/ZdIid5y1gu,
1.54e+18,2022-07-03 21:57:49+00:00,8.75e+17,Tessa Thompson says Valkyrie's sexuality was a 'big topic of conversation' on 'Thor: Love and Thunder' https://t.co/JNFwg0pFbu #MovieNews,
1.54e+18,2022-07-03 21:50:12+00:00,7.71e+17,@Andile51547095 😂😂you can't blame us yhoo,
1.54e+18,2022-07-03 21:49:33+00:00,7.83e+17,@imalphonso Yeah I do Yhoo 🙈😊,
1.54e+18,2022-07-03 21:47:53+00:00,1.18e+18,Yhoo https://t.co/QCzwbJcJfM,
1.54e+18,2022-07-03 21:46:00+00:00,729085058.0,"#ICYMI: here's @DejounteMurray's #PostedUp w./ @ChrisBHaynes -- from Seattle, to San Antonio and now Atlanta ... wh… https://t.co/3Dfi9IE1DA",
1.54e+18,2022-07-03 21:44:30+00:00,1.03e+18,@qhamadlula_ Yhoo haike 🤐🤐🚶🚶😂,
1.54e+18,2022-07-03 21:38:26+00:00,17858973.0,"Hmm... dragging out an old law clerk of Clarence Thomas- Kunce must have them a little worried in Missouri!  
Janua… https://t.co/miayTDElhI",
1.54e+18,2022-07-03 21:34:22+00:00,19546277.0,"Investors, consumers are pushing the health care industry to tackle health inequity: Deloitte… https://t.co/so2XiztyjH",
1.54e+18,2022-07-03 21:34:19+00:00,1.28e+18,Elinamandla is bitter to the core such a sore loser. And she's young for such evil behavior yhoo.#PastorWantsAWife,
1.54e+18,2022-07-03 21:29:53+00:00,17852343.0,Adele and boyfriend Rich Paul have a glamorous date night at Kevin Love and Kate Bock's wedding… https://t.co/VN7WoFFt0a,
1.54e+18,2022-07-03 21:23:25+00:00,1.29e+18,Yhoo hay i take forever to  get drunk i hate it,
1.54e+18,2022-07-03 21:20:06+00:00,443129739.0,"The John Deere Classic isn't the best field you will see, but that doesn't mean there isn't betting value.… https://t.co/AWO3SPPgwf",
1.54e+18,2022-07-03 21:17:02+00:00,2837991784.0,Equal playing field must be created for women in politics – Chelsea Clinton https://t.co/1sAciXmQSN,
1.54e+18,2022-07-03 21:15:08+00:00,2226866586.0,"#ICYMI: $CYCA announced the plan to create a subsidiary, Reticulate Micro (""Reticulate""), to focus on developing ch… https://t.co/BSoPGrzs7S",
1.54e+18,2022-07-03 21:14:19+00:00,7302282.0,"Sixers G James Harden has declined his $47.4M option but intends to return to the team on a new deal, per… https://t.co/7t9ksg4Lp3",
1.54e+18,2022-07-03 21:12:34+00:00,7309052.0,"The truck was discovered Monday on a desolate road in San Antonio, where temperatures reached a high of 103 degrees… https://t.co/Nc7ja0OV3L",
1.54e+18,2022-07-03 21:09:46+00:00,157434429.0,Yhoo not me https://t.co/ZcQ7wJYK0K,
1.54e+18,2022-07-03 21:06:40+00:00,21320186.0,Watch Kelsea Ballerini's husband's epic reaction to her dancing in a bikini on TikTok. https://t.co/25gvvi9cll https://t.co/GHvehSHzrW,
1.54e+18,2022-07-03 21:06:36+00:00,7309052.0,"President Biden and the Democrats who have thin majorities in Congress have to explain 8.6% inflation, gas prices o… https://t.co/1Om8KYB1Oc",
1.54e+18,2022-07-03 21:02:58+00:00,1.06e+18,@Motso_Belk29 Football is Unpredictable watsa yhoo,
